Sample in Buffer,Sample in Window,TRIGGER,zsys_i/system_ila_0/U0/probe0_1[15:0],user_probe_0[15:0],zsys_i/system_ila_0/U0/probe1_1[15:0],zsys_i/system_ila_0/U0/probe2_1,zsys_i/system_ila_0/U0/probe3_1[15:0],zsys_i/system_ila_0/U0/probe4_1[15:0],zsys_i/system_ila_0/U0/probe5_1,GL0,zsys_i/system_ila_0/U0/probe6_1[2:0],GL1,GL2,zsys_i/system_ila_0/U0/probe7_1,Monitor1[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tdata[63:0],Monitor2[15:0],Monitor3[15:0],Monitor4[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_0_axis_tready,zsys_i/system_ila_0/U0/net_slot_0_axis_tlast,zsys_i/system_ila_0/U0/net_slot_1_axis_tdata[63:0],zsys_i/system_ila_0/U0/net_slot_1_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_1_axis_tready,zsys_i/system_ila_0/U0/net_slot_1_axis_tlast,zsys_i/system_ila_0/U0/net_slot_2_axis_tdata[31:0],zsys_i/system_ila_0/U0/net_slot_2_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_2_axis_tready,zsys_i/system_ila_0/U0/net_slot_2_axis_tlast,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_start_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_done_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_idle_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_ready_1,T_Channel_(i1:s0)_(axis_monitor_0_m_axis)[2:0],T_Channel_(i1:s1)_(axis_AD7403_0_m_axis)[2:0],T_Channel_(i1:s2)_()[2:0]
10232,10232,0,0007,fffe,fffe,0,fffc,fffb,1,0,0,0,0,0,fff9,012100000002fff9,0002,0000,0121,0,1,0,7fff7fff001400ec,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
10233,10233,0,0001,0003,0003,0,0003,ffeb,1,0,0,0,0,0,0000,01210000fffd0000,fffd,0000,0121,0,1,0,7fff7fff000a00e6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10234,10234,0,0001,0000,0000,0,ffe8,000b,1,1,7,1,1,0,ffff,012100000000ffff,0000,0000,0121,0,1,0,7fff7fff001800f6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10235,10235,0,fffe,fffb,fffb,0,0002,0001,1,1,7,1,1,0,ffff,012100000005ffff,0005,0000,0121,0,1,0,7fff7fff000000fc,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10236,10236,0,0005,0002,0002,0,0017,000a,1,1,7,1,1,0,fffc,01210000fffefffc,fffe,0000,0121,0,1,0,7fff7fff00080100,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10237,10237,0,fff9,fff7,fff7,0,fff3,000d,1,0,0,0,0,0,0002,0121000000090002,0009,0000,0121,0,1,0,7fff7fff001800d4,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10238,10238,0,0004,0001,0001,0,000a,ffe9,1,0,0,0,0,0,fffd,01210000fffffffd,ffff,0000,0121,0,1,0,7fff7fff002400f6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10239,10239,0,fffb,fffc,fffc,0,001c,0009,1,1,7,1,1,0,0002,0121000000040002,0004,0000,0121,0,1,0,7fff7fff000400e2,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10240,10240,0,fff7,fff0,fff0,0,0006,0003,1,1,7,1,1,0,0000,0121000000100000,0010,0000,0121,0,1,0,7fff7fff001000f0,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10241,10241,0,0001,0007,0007,0,000f,0008,1,1,7,1,1,0,0002,01210000fff90002,fff9,0000,0121,0,1,0,7fff7fff001c00f0,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
10242,10242,0,000c,fffe,fffe,0,fff6,000e,1,0,0,0,0,0,fff4,012100000002fff4,0002,0000,0121,0,1,0,7fff7fff00100104,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10243,10243,0,0001,fff6,fff6,0,0006,ffe4,1,0,0,0,0,0,fffa,01210000000afffa,000a,0000,0121,0,1,0,7fff7ffffffc00e8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10244,10244,0,fffd,0002,0002,0,0014,0002,1,1,7,1,1,0,0003,01210000fffe0003,fffe,0000,0121,0,1,0,7fff7ffffffc0108,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10245,10245,0,ffff,fff8,fff8,0,ffff,0009,1,1,7,1,1,0,fffd,012100000008fffd,0008,0000,0121,0,1,0,7fff7fff003400e4,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10246,10246,0,fff9,fff8,fff8,0,0000,ffe3,1,1,7,1,1,0,0002,0121000000080002,0008,0000,0121,0,1,0,7fff7fff002a00d8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10247,10247,0,0002,fffc,fffc,0,0000,0009,1,0,0,0,0,0,fffc,012100000004fffc,0004,0000,0121,0,1,0,7fff7fff00120104,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10248,10248,0,0004,0007,0007,0,0006,fff2,1,0,0,0,0,0,0000,01210000fff90000,fff9,0000,0121,0,1,0,7fff7fff002200f2,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
10249,10249,0,0005,0004,0004,0,0004,0004,1,1,7,1,1,0,fffd,01210000fffcfffd,fffc,0000,0121,0,1,0,7fff7fff000c00e6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10250,10250,0,0003,ffff,ffff,0,0005,0018,1,1,7,1,1,0,fffd,012100000001fffd,0001,0000,0121,0,1,0,7fff7fff00200100,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10251,10251,0,ffff,fff0,fff0,0,0003,ffe9,1,1,7,1,1,0,fff9,012100000010fff9,0010,0000,0121,0,1,0,7fff7fff000800fc,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10252,10252,0,fffc,fffc,fffc,0,fffc,fff0,1,0,0,0,0,0,0001,0121000000040001,0004,0000,0121,0,1,0,7fff7fff000c0114,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10253,10253,0,0003,fffb,fffb,0,fffc,0028,1,0,0,0,0,0,fffb,012100000005fffb,0005,0000,0121,0,1,0,7fff7fff001400de,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10254,10254,0,0005,0001,0001,0,fffe,fff7,1,1,7,1,1,0,fffc,01210000fffffffc,ffff,0000,0121,0,1,0,7fff7fff001400d4,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10255,10255,0,0001,fff6,fff6,0,0003,ffe9,1,1,7,1,1,0,fffa,01210000000afffa,000a,0000,0121,0,1,0,7fff7fff00180104,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10256,10256,0,fffe,fffe,fffe,0,fffd,fff8,1,1,7,1,1,0,0001,0121000000020001,0002,0000,0121,0,1,0,7fff7fff001000ee,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10257,10257,0,0004,0000,0000,0,fffd,ffea,1,0,0,0,0,0,fffc,012100000000fffc,0000,0000,0121,0,1,0,7fff7fff000400f4,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
10258,10258,0,ffff,fffe,fffe,0,000b,0023,1,0,0,0,0,0,0000,0121000000020000,0002,0000,0121,0,1,0,7fff7fff000400e0,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10259,10259,0,0008,0007,0007,0,fffd,fff5,1,1,7,1,1,0,fffc,01210000fff9fffc,fff9,0000,0121,0,1,0,7fff7fff003000f2,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10260,10260,0,fffc,fff5,fff5,0,0008,fff1,1,1,7,1,1,0,fffe,01210000000bfffe,000b,0000,0121,0,1,0,7fff7fff000c00fe,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10261,10261,0,0000,fffe,fffe,0,fffa,0012,1,1,7,1,1,0,ffff,012100000002ffff,0002,0000,0121,0,1,0,7fff7fff003200e4,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10262,10262,0,fff9,fff4,fff4,0,0000,fffe,1,0,0,0,0,0,0000,01210000000c0000,000c,0000,0121,0,1,0,7fff7ffffff400ec,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
